country,iso3,region,happiness,hle,loggdp,social,freedom,generosity,corruption,expected_happiness,gap,performer
Iraq,IRQ,Middle East and North Africa,4.941,63.415,9.098,0.718,0.646,-0.005,0.876,5.314,-0.373,Under-performer
Ireland,IRL,Western Europe,6.911,71.3,11.527,0.905,0.874,0.092,0.358,6.4845,0.4265,Over-performer
Israel,ISR,Middle East and North Africa,7.473,72.697,10.639,0.943,0.809,-0.023,0.708,6.6918,0.7812,Over-performer
Italy,ITA,Western Europe,6.405,72.05,10.634,0.882,0.711,-0.074,0.842,6.5958,-0.1908,Under-performer
Ivory Coast,CIV,Sub-Saharan Africa,5.053,55.953,8.576,0.572,0.733,0.003,0.746,4.2063,0.8467,Over-performer
Jamaica,JAM,Latin America and Caribbean,5.703,66.6,9.165,0.867,0.822,-0.106,0.875,5.7868,-0.0838,Under-performer
Japan,JPN,East Asia,6.129,74.349,10.616,0.894,0.799,-0.237,0.64,6.9371,-0.8081,Under-performer
Jordan,JOR,Middle East and North Africa,4.12,67.6,9.13,0.729,0.77,-0.15,0.687,5.9352,-1.8152,Under-performer
Kazakhstan,KAZ,Commonwealth of Independent States,6.144,65.802,10.166,0.931,0.853,0.0,0.721,5.6683,0.4757,Over-performer
Kenya,KEN,Sub-Saharan Africa,4.487,58.499,8.458,0.69,0.696,0.288,0.852,4.5842,-0.0972,Under-performer
Kosovo,XK,Central and Eastern Europe,6.368,65.195,9.359,0.844,0.861,0.259,0.866,5.5782,0.7898,Over-performer
Kyrgyzstan,KGZ,Commonwealth of Independent States,5.825,66.852,8.486,0.911,0.934,0.181,0.904,5.8242,0.0008,Over-performer
Laos,LAO,Southeast Asia,5.111,60.946,8.962,0.679,0.919,0.091,0.703,4.9474,0.1636,Over-performer
Latvia,LVA,Central and Eastern Europe,6.213,66.4,10.37,0.937,0.818,-0.056,0.83,5.7571,0.4559,Over-performer
Lebanon,LBN,Middle East and North Africa,2.392,66.149,9.478,0.53,0.474,-0.141,0.891,5.7198,-3.3278,Under-performer
Liberia,LBR,Sub-Saharan Africa,4.042,56.7,7.277,0.596,0.735,0.154,0.83,4.3171,-0.2751,Under-performer
Lithuania,LTU,Central and Eastern Europe,6.763,67.397,10.568,0.939,0.748,-0.145,0.805,5.9051,0.8579,Over-performer
Luxembourg,LUX,Western Europe,7.228,71.675,11.66,0.879,0.915,0.024,0.345,6.5401,0.6879,Over-performer
Madagascar,MDG,Sub-Saharan Africa,4.019,58.05,7.29,0.65,0.522,0.075,0.742,4.5175,-0.4985,Under-performer
Malawi,MWI,Sub-Saharan Africa,3.495,58.475,7.302,0.531,0.75,0.005,0.749,4.5806,-1.0856,Under-performer
Malaysia,MYS,Southeast Asia,6.012,65.662,10.169,0.799,0.877,0.16,0.758,5.6475,0.3645,Over-performer
Mali,MLI,Sub-Saharan Africa,4.198,55.403,7.655,0.593,0.713,-0.028,0.846,4.1246,0.0734,Over-performer
Malta,MLT,Western Europe,6.3,71.6,10.661,0.923,0.886,0.119,0.729,6.529,-0.229,Under-performer
Mauritania,MRT,Sub-Saharan Africa,4.724,60.475,8.591,0.644,0.622,-0.013,0.657,4.8775,-0.1535,Under-performer
Mauritius,MUS,Sub-Saharan Africa,5.902,63.85,9.957,0.888,0.813,-0.028,0.775,5.3785,0.5235,Over-performer
Mexico,MEX,Latin America and Caribbean,6.33,65.8,9.85,0.804,0.856,-0.094,0.768,5.668,0.662,Over-performer
Moldova,MDA,Commonwealth of Independent States,5.819,65.299,9.499,0.857,0.84,-0.08,0.901,5.5936,0.2254,Over-performer
Mongolia,MNG,East Asia,5.84,60.5,9.372,0.933,0.701,0.19,0.849,4.8812,0.9588,Over-performer
Montenegro,MNE,Central and Eastern Europe,5.722,67.1,9.813,0.89,0.805,0.063,0.844,5.861,-0.139,Under-performer
Morocco,MAR,Middle East and North Africa,4.903,63.901,8.973,0.553,0.787,-0.231,0.811,5.3861,-0.4831,Under-performer
Mozambique,MOZ,Sub-Saharan Africa,4.954,51.53,7.116,0.692,0.851,0.047,0.66,3.5497,1.4043,Over-performer
Myanmar,MMR,Southeast Asia,4.372,61.388,8.404,0.787,0.727,0.491,0.658,5.0131,-0.6411,Under-performer
Namibia,NAM,Sub-Saharan Africa,4.631,56.851,9.121,0.787,0.669,-0.126,0.83,4.3396,0.2914,Over-performer
Nepal,NPL,South Asia,5.36,61.847,8.256,0.748,0.808,0.146,0.783,5.0812,0.2788,Over-performer
Netherlands,NLD,Western Europe,7.403,71.55,10.942,0.93,0.887,0.213,0.379,6.5216,0.8814,Over-performer
New Zealand,NZL,North America and ANZ,7.123,70.35,10.662,0.952,0.887,0.175,0.271,6.3434,0.7796,Over-performer
Nicaragua,NIC,Latin America and Caribbean,6.259,65.65,8.618,0.853,0.877,0.021,0.625,5.6457,0.6133,Over-performer
Niger,NER,Sub-Saharan Africa,4.501,56.55,7.091,0.59,0.788,0.032,0.734,4.2949,0.2061,Over-performer
Nigeria,NGA,Sub-Saharan Africa,4.981,54.891,8.496,0.74,0.718,0.073,0.911,4.0486,0.9324,Over-performer
North Macedonia,MKD,Central and Eastern Europe,5.254,66.5,9.703,0.805,0.769,0.131,0.902,5.7719,-0.5179,Under-performer
Norway,NOR,Western Europe,7.315,71.5,11.088,0.943,0.947,0.141,0.283,6.5141,0.8009,Over-performer
Pakistan,PAK,South Asia,4.555,57.313,8.54,0.601,0.766,0.008,0.787,4.4081,0.1469,Over-performer
Panama,PAN,Latin America and Caribbean,6.265,68.95,10.305,0.896,0.855,-0.133,0.878,6.1356,0.1294,Over-performer
Paraguay,PRY,Latin America and Caribbean,5.738,65.9,9.51,0.906,0.891,0.021,0.843,5.6828,0.0552,Over-performer
Peru,PER,Latin America and Caribbean,5.526,69.85,9.402,0.798,0.794,-0.119,0.892,6.2692,-0.7432,Under-performer
Philippines,PHL,Southeast Asia,5.523,62.038,8.979,0.78,0.919,-0.06,0.732,5.1096,0.4134,Over-performer
Poland,POL,Central and Eastern Europe,6.26,69.049,10.453,0.925,0.765,-0.031,0.736,6.1503,0.1097,Over-performer
Portugal,PRT,Western Europe,5.968,71.25,10.429,0.878,0.902,-0.196,0.878,6.477,-0.509,Under-performer
